,Team,Player,ESPNID,GP,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,Overall_Pick,BLSV,ER,ERA,GS,HLD,IP,K,K/BB,L,SV,W,W%,WHIP,OPS_Weighted
10,,Jim Adduci,30019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
11,Dookie Butts,Jo Adell,40854.0,7.0,27.0,2.0,7.0,4.0,0.0,0.0,4.0,2.0,0.0,8.0,1.0,0.0,0.259,0.31,0.407,0.718,0.1,233.0,,,,,,,,,,,,,,19.386
12,,Ehire Adrianza,30471.0,81.0,145.0,26.0,36.0,7.0,2.0,4.0,24.0,18.0,2.0,32.0,0.0,0.0,0.248,0.333,0.407,0.74,0.1,,,,,,,,,,,,,,,107.3
13,,Jesus Aguilar,32132.0,108.0,376.0,40.0,99.0,20.0,0.0,20.0,79.0,38.0,3.0,80.0,0.0,0.0,0.263,0.33,0.476,0.806,1.5,,,,,,,,,,,,,,,303.05600000000004
14,,Nick Ahmed,32355.0,100.0,330.0,35.0,74.0,23.0,2.0,3.0,25.0,25.0,2.0,78.0,7.0,2.0,0.224,0.283,0.333,0.616,0.6,,,,,,,,,,,,,,,203.28
15,,Shogo Akiyama,42390.0,68.0,132.0,16.0,28.0,6.0,0.0,0.0,10.0,12.0,4.0,29.0,2.0,3.0,0.212,0.295,0.258,0.553,-0.5,,,,,,,,,,,,,,,72.99600000000001
16,,Hanser Alberto,32839.0,77.0,179.0,18.0,47.0,14.0,3.0,1.0,16.0,2.0,3.0,23.0,1.0,1.0,0.263,0.281,0.391,0.672,0.1,,,,,,,,,,,,,,,120.28800000000001
17,AGS,Ozzie Albies,33783.0,111.0,435.0,69.0,111.0,31.0,5.0,18.0,72.0,38.0,3.0,86.0,13.0,2.0,0.255,0.317,0.474,0.791,2.1,6.0,,,,,,,,,,,,,,344.08500000000004
18,,Arismendy Alcantara,32823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
19,,Jorge Alfaro,31737.0,65.0,204.0,13.0,47.0,10.0,1.0,3.0,15.0,9.0,4.0,73.0,5.0,0.0,0.23,0.276,0.333,0.61,-0.5,,,,,,,,,,,,,,,124.44
20,,Anthony Alford,32812.0,14.0,35.0,2.0,6.0,2.0,0.0,0.0,1.0,4.0,1.0,22.0,1.0,2.0,0.171,0.275,0.229,0.504,-0.2,,,,,,,,,,,,,,,17.64
21,,Austin Allen,39870.0,2.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.167,0.167,0.667,0.833,0.2,,,,,,,,,,,,,,,4.997999999999999
22,,Greg Allen,34187.0,15.0,37.0,9.0,10.0,4.0,1.0,0.0,2.0,5.0,5.0,13.0,5.0,0.0,0.27,0.417,0.432,0.849,0.3,,,,,,,,,,,,,,,31.413
23,,Abraham Almonte,31474.0,56.0,141.0,19.0,32.0,12.0,0.0,5.0,19.0,24.0,0.0,34.0,0.0,1.0,0.227,0.337,0.418,0.756,-0.8,,,,,,,,,,,,,,,106.596
24,,Zoilo Almonte,31469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
25,,Albert Almora,32686.0,35.0,45.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.133,0.152,0.2,0.352,-0.5,,,,,,,,,,,,,,,15.84
26,Dookie Butts,Pete Alonso,37498.0,101.0,363.0,51.0,89.0,13.0,0.0,24.0,63.0,43.0,5.0,83.0,2.0,0.0,0.245,0.331,0.479,0.81,2.1,17.0,,,,,,,,,,,,,,294.03000000000003
27,,Yonder Alonso,30016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
28,,Aaron Altherr,31738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
29,,Jose Altuve,31662.0,99.0,405.0,81.0,111.0,14.0,0.0,25.0,65.0,49.0,2.0,70.0,4.0,2.0,0.274,0.351,0.494,0.844,3.4,,,,,,,,,,,,,,,341.82
30,,Pedro Alvarez,29962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
31,,Yordan Alvarez,36018.0,96.0,360.0,66.0,103.0,19.0,1.0,22.0,74.0,30.0,7.0,103.0,1.0,0.0,0.286,0.35,0.528,0.878,2.2,,,,,,,,,,,,,,,316.08
32,,Alexi Amarista,30562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
33,,Bryan Anderson,29697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
